,,,,,,,,,,,,Vendor,ASUSTeK COMPUTER INC.
,,,,,,,,,,,,Board,W680/MB DC
,,,,,,,,,,,,CPU, 13th Gen Intel(R) Core(TM) i9-13900 
,,,,,,,,,,,,Bogomips,3993.60
,,,,,,,,,,,,Kernel,5.15.0-91-generic
,,,,,,,,,,,,DaemonVegetaRunOnCore,-:-
,,,,,,,,,,,,VegetaFile,pattern/mainnet/stress_test_eth_call_001_14M.tar
,,,,,,,,,,,,VegetaChecksum,09737  4892
,,,,,,,,,,,,GCC version,"gcc (Ubuntu 12.3.0-1ubuntu1~22.04) 12.3.0
Copyright (C) 2022 Free Software Foundation"
,,,,,,,,,,,,Go version,go version go1.20.5 linux/amd64
,,,,,,,,,,,,Silkrpc version,master 29b40fc5c4a8039503b7dd3912ebd8c1efd2202e
,,,,,,,,,,,,Erigon version, b39f3245d48055627e06e2c508362e77ab766409


Daemon,TestNo,TG-Threads,Qps,Time,Min,Mean,50,90,95,99,Max,Ratio,Error
silk,[1. 1] ,76 ,100,30,  168.484µs, 2.162ms, 988.855µs, 5.026ms, 8.637ms, 16.383ms, 147.093ms ,100.00%,
silk,[1. 2] ,76 ,100,30,  95.201µs, 727.27µs, 662.281µs, 1.022ms, 1.304ms, 1.732ms, 7.382ms ,100.00%,
silk,[1. 3] ,76 ,100,30,  129.644µs, 755.033µs, 715.914µs, 1.054ms, 1.346ms, 2.003ms, 4.901ms ,100.00%,
silk,[2. 1] ,76 ,1000,20,  43.582µs, 1.164ms, 540.501µs, 2.242ms, 4.875ms, 10.084ms, 536.99ms ,100.00%,
silk,[2. 2] ,76 ,1000,20,  39.163µs, 395.784µs, 294.754µs, 686.015µs, 941.157µs, 1.614ms, 37.804ms ,100.00%,
silk,[2. 3] ,76 ,1000,20,  37.396µs, 384.336µs, 286.494µs, 664.585µs, 913.763µs, 1.564ms, 28.515ms ,100.00%,
silk,[3. 1] ,76 ,10000,20,  31.086µs, 431.3µs, 297.949µs, 717.111µs, 1.109ms, 2.622ms, 47.484ms ,100.00%,
silk,[3. 2] ,76 ,10000,20,  32.181µs, 447.562µs, 291.926µs, 734.931µs, 1.156ms, 3.687ms, 40.769ms ,100.00%,
silk,[3. 3] ,76 ,10000,20,  32.155µs, 750.046µs, 247.573µs, 722.607µs, 1.196ms, 8.96ms, 112.386ms ,100.00%,
silk,[4. 1] ,76 ,20000,20,  29.731µs, 446.819µs, 182.086µs, 720.533µs, 1.572ms, 5.886ms, 54.376ms ,100.00%,
silk,[4. 2] ,76 ,20000,20,  28.556µs, 1.023ms, 131.739µs, 624.638µs, 1.977ms, 25.969ms, 153.783ms ,100.00%,
silk,[4. 3] ,76 ,20000,20,  29.381µs, 783.235µs, 131.215µs, 679.888µs, 2.016ms, 14.83ms, 79.433ms ,100.00%,
rpcdaemon,[1. 1] ,76 ,100,30,  128.997µs, 1.281ms, 1.065ms, 2.074ms, 2.847ms, 4.703ms, 13.293ms ,100.00%,
rpcdaemon,[1. 2] ,76 ,100,30,  124.534µs, 1.18ms, 1.018ms, 1.772ms, 2.528ms, 3.767ms, 12.602ms ,100.00%,
rpcdaemon,[1. 3] ,76 ,100,30,  170.73µs, 1.24ms, 1.064ms, 1.878ms, 2.653ms, 4.035ms, 12.541ms ,100.00%,
rpcdaemon,[2. 1] ,77 ,1000,20,  106.548µs, 899.739ms, 987.762µs, 6.674s, 8.586s, 12.689s, 17.672s ,100.00%,
rpcdaemon,[2. 2] ,77 ,1000,20,  102.948µs, 876.339ms, 937.362µs, 3.664s, 6.546s, 9.589s, 9.922s ,100.00%,
rpcdaemon,[2. 3] ,77 ,1000,20,  102.558µs, 997.941µs, 773.021µs, 1.691ms, 2.362ms, 3.962ms, 73.665ms ,100.00%,
rpcdaemon,[3. 1] ,79 ,10000,20,  76.992µs, 1.345ms, 370.108µs, 2.592ms, 4.779ms, 16.818ms, 132.277ms ,100.00%,
rpcdaemon,[3. 2] ,95 ,10000,20,  77.603µs, 992.57µs, 364.438µs, 1.899ms, 3.32ms, 8.445ms, 99.825ms ,100.00%,
rpcdaemon,[3. 3] ,95 ,10000,20,  80.777µs, 936.768µs, 365.938µs, 2.068ms, 3.586ms, 8.111ms, 85.852ms ,100.00%,
rpcdaemon,[4. 1] ,397 ,20000,20,  71.086µs, 3.772ms, 488.148µs, 9.018ms, 16.484ms, 54.872ms, 264.914ms ,100.00%,
rpcdaemon,[4. 2] ,397 ,20000,20,  70.57µs, 4.188ms, 501.984µs, 9.474ms, 20.621ms, 60.084ms, 199.747ms ,100.00%,
rpcdaemon,[4. 3] ,405 ,20000,20,  72.935µs, 4.613ms, 543.543µs, 10.21ms, 24.974ms, 62.317ms, 181.488ms ,100.00%,
